City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.58,light rain,-23.1203,-134.9692,People ThankYou
6,Manakara,MG,80.22,clear sky,-22.1333,48.0167,La Residence Manakara
9,Atuona,PF,77.4,light rain,-9.8,-139.0333,Villa Enata
19,Muli,MV,82.53,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
26,Padang,ID,78.85,moderate rain,-0.9492,100.3543,Mercure Padang
27,Praia,CV,76.17,overcast clouds,14.9215,-23.5087,LT Aparthotel
33,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
40,Buchanan,LR,83.1,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
43,Cayenne,GF,79.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
46,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
47,Arraial Do Cabo,BR,89.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Tabora,TZ,77.95,broken clouds,-5.0167,32.8,Barcelona Lodge
49,Trairi,BR,88.59,scattered clouds,-3.2778,-39.2689,janelas do mar
50,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
54,Hithadhoo,MV,82.17,clear sky,-0.6,73.0833,Scoop Guest House
62,Ternate,ID,81.45,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
65,Pitimbu,BR,88.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
69,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
72,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
78,Rosita,NI,75.25,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
84,Namibe,AO,75.76,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
86,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
95,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
97,Auki,SB,77.88,overcast clouds,-8.7676,160.7034,Auki Motel
102,Necochea,AR,76.03,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
109,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
111,Grand Gaube,MU,79.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
113,Porto Velho,BR,86.05,broken clouds,-8.7619,-63.9039,Hotel Central
114,Itarema,BR,89.42,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
115,Cancun,MX,80.53,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
119,Adre,TD,89.44,scattered clouds,13.4667,22.2,
129,Butaritari,KI,80.85,light rain,3.0707,172.7902,Isles Sunset Lodge
131,Sumbe,AO,81.46,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
134,Cabo San Lucas,MX,76.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
138,Lucapa,AO,79.16,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
147,Eydhafushi,MV,81.63,broken clouds,5.1033,73.0708,Soneva Fushi
148,Cururupu,BR,85.96,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
149,Roebourne,AU,82.85,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
151,Saint-Philippe,RE,80.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
154,Faanui,PF,80.42,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
161,Bireun,ID,79.3,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
165,Tiruchchendur,IN,79.65,broken clouds,8.4833,78.1167,Hotel Udhayam International
167,Gizo,SB,82.02,moderate rain,-8.103,156.8419,Imagination Island
176,Chiradzulu,MW,83.16,scattered clouds,-15.6746,35.1407,SOMS LODGE
179,Nhulunbuy,AU,84.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
181,Mahebourg,MU,79.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
182,Katobu,ID,76.86,overcast clouds,-4.9408,122.5276,La Ode Husein
185,Young,UY,86.23,scattered clouds,-32.6833,-57.6333,Posada Gira el Sol
186,Mount Isa,AU,85.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
187,Antsohihy,MG,83.28,scattered clouds,-14.8796,47.9875,Hotel de Ville
188,Sinnamary,GF,80.44,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
193,Mangai,CD,82.02,light rain,-4.05,19.5333,
194,Zaria,NG,87.06,broken clouds,11.1113,7.7227,Nubapoly Guest Inn
197,Umm Kaddadah,SD,83.62,broken clouds,13.6017,26.6876,
200,Soyo,AO,86.05,overcast clouds,-6.1349,12.3689,Hotel Mpampa
201,Richards Bay,ZA,80.62,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
202,Eyl,SO,77.36,few clouds,7.9803,49.8164,Amiin Hotel
204,Farafangana,MG,79.84,clear sky,-22.8167,47.8333,Miarina
205,Maues,BR,82.18,overcast clouds,-3.3836,-57.7186,Hotel Miramar
206,Kismayo,SO,81.14,broken clouds,-0.3582,42.5454,Agan-Hotel
212,Marsh Harbour,BS,75.45,broken clouds,26.5412,-77.0636,Abaco Beach Resort
214,Karratha,AU,81.54,clear sky,-20.7377,116.8463,ibis Styles Karratha
215,Labuhan,ID,78.42,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
217,Amahai,ID,80.15,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
224,Grand-Santi,GF,86.97,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
225,Belmonte,BR,82.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
226,Tual,ID,84.34,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
230,Rio Cuarto,AR,76.68,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
236,Kriel,ZA,76.8,broken clouds,-26.2739,29.2253,In Him Guesthouse (Accomodation)
242,Pangai,TO,80.71,clear sky,-19.8,-174.35,Ha'apai Beach Resort
247,Ngaoundere,CM,85.33,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
248,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
249,Sivakasi,IN,82.72,overcast clouds,9.45,77.8167,nathan lodge
254,Ransang,PH,78.4,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
256,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
260,Yaguajay,CU,78.01,clear sky,22.3272,-79.2378,Hostal La Terraza
261,Ladario,BR,86.09,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
262,Buala,SB,80.33,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
275,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
286,Martapura,ID,77.09,mist,-3.4167,114.85,Montana Hotel Syariah
287,Sal Rei,CV,77.2,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
288,Coahuayana,MX,81.88,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
297,Sibiti,CG,79.45,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
298,Brokopondo,SR,81.86,broken clouds,4.75,-55.1667,Matu Island
303,Jacareacanga,BR,75.78,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
304,Loandjili,CG,86.11,few clouds,-4.7561,11.8578,Résidence ARCHANGE
306,Taoudenni,ML,84.52,clear sky,22.6783,-3.9836,
309,Los Andes,CL,77.9,clear sky,-32.8337,-70.5983,Hotel Los Andes
311,Port-Gentil,GA,85.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
317,Vao,NC,75.29,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
321,Arlit,NE,82.17,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
324,Road Town,VG,80.69,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
325,Lhokseumawe,ID,79.14,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
332,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
333,Sibu,MY,79.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
336,Ihosy,MG,80.51,few clouds,-22.4,46.1167,Hotely Sariaka
340,Vilhena,BR,75.42,broken clouds,-12.7406,-60.1458,Hotel Mirage
344,Cockburn Town,TC,79.29,clear sky,21.4612,-71.1419,Osprey Beach Hotel
347,Puerto Colombia,CO,86.09,few clouds,10.9878,-74.9547,Hotel El Emigrante
352,Port Blair,IN,79.09,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
354,Kavaratti,IN,82.74,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
357,Pochutla,MX,83.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
359,San Patricio,US,77.94,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
361,Caravelas,BR,84.36,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
362,Kimbe,PG,77.31,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
365,Pangkalanbuun,ID,75.11,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
367,Sibolga,ID,77.77,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
369,Axim,GH,84.36,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
371,Maldonado,UY,75.22,overcast clouds,-34.6667,-54.9167,La Cimarrona
376,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
381,Aflao,TG,89.73,few clouds,6.116,1.1914,Hotel LeBenin
383,Manokwari,ID,80.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
385,Bonthe,SL,84.33,light rain,7.5264,-12.505,Bonthe Holiday Village
389,Catuday,PH,76.86,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
393,San Juan,AR,79.75,clear sky,-31.5375,-68.5364,Hotel Provincial
394,Bengkulu,ID,76.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
396,Mabaruma,GY,79.97,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
398,Le Port,RE,80.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
406,Kavieng,PG,83.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
408,Mitu,CO,79.68,overcast clouds,1.1983,-70.1733,
410,Calamar,CO,87.75,clear sky,10.2511,-74.9146,Hostal Katyalex
411,Meulaboh,ID,78.85,overcast clouds,4.1363,96.1285,Kost Pria
412,Madimba,TZ,81.91,scattered clouds,-10.4,40.3333,
413,Viedma,AR,79.7,clear sky,-40.8135,-62.9967,Hotel Cristal
417,Beeville,US,76.55,overcast clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
418,Venice,US,77.23,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
421,Bandrele,YT,82.15,few clouds,-12.9067,45.1914,Les Baobabs
425,Mapiripan,CO,86.88,broken clouds,2.8892,-72.1256,Monserrate
426,Kudahuvadhoo,MV,82.18,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
429,Lorengau,PG,82.0,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
440,George Town,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
442,The Valley,AI,84.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
444,Luganville,VU,77.56,few clouds,-15.5333,167.1667,The Espiritu Hotel
455,Toamasina,MG,82.4,broken clouds,-18.1667,49.3833,Hotel H1
456,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
458,Fare,PF,80.13,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
459,Banda Aceh,ID,79.63,few clouds,5.5577,95.3222,Sulthan Hotel International
461,Mundo Nuevo,MX,77.0,few clouds,18.7,-95.5,
464,Concepcion Del Uruguay,AR,86.99,broken clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
470,Pedasi,PA,80.22,clear sky,7.5333,-80.0333,Selina Pedasi
473,Luanda,AO,86.0,broken clouds,-8.8368,13.2343,Hotel Fórum
474,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
475,Mogadishu,SO,80.22,broken clouds,2.0371,45.3438,Hotel Juba
479,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
482,Santa Isabel Do Rio Negro,BR,82.13,overcast clouds,-0.4139,-65.0192,Hotel GSA
490,Ratnagiri,IN,77.11,broken clouds,16.9833,73.3,Hotel Landmark
491,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
494,Tefe,BR,78.91,light rain,-3.3542,-64.7114,Aracati Hotel
496,Ambovombe,MG,83.7,clear sky,-25.1667,46.0833,RELAHARA
497,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
498,Ugoofaaru,MV,82.13,overcast clouds,5.6667,73.0,Ungoofaaru Inn
508,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
509,Rafaela,AR,82.0,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
515,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
525,Guaratinga,BR,81.27,overcast clouds,-16.5667,-39.5667,Hotel Caraíva
527,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
533,Bubaque,GW,82.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
