City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.58,81,97,8.12,light rain
1,Marienburg,PL,54.0359,19.0266,47.86,98,100,10.65,overcast clouds
2,Barrow,US,71.2906,-156.7887,-25.58,83,20,5.75,few clouds
3,Cidreira,BR,-30.1811,-50.2056,73.15,92,100,15.86,overcast clouds
4,Bar Harbor,US,44.3876,-68.2039,31.64,49,1,5.01,clear sky
5,Sanmenxia,CN,34.7747,111.1814,42.28,47,98,2.35,overcast clouds
6,Manakara,MG,-22.1333,48.0167,80.22,72,8,11.7,clear sky
7,Jalu,LY,29.0331,21.5482,61.39,55,80,9.69,broken clouds
8,Mataura,NZ,-46.1927,168.8643,52.48,89,100,6.15,overcast clouds
9,Atuona,PF,-9.8,-139.0333,77.4,78,30,16.71,light rain
10,Stokmarknes,NO,68.5646,14.9108,39.18,87,75,8.05,shower rain
11,Busselton,AU,-33.65,115.3333,59.09,76,51,12.35,broken clouds
12,New Norfolk,AU,-42.7826,147.0587,56.7,60,17,1.01,few clouds
13,Cape Town,ZA,-33.9258,18.4232,67.87,72,75,4.0,broken clouds
14,Guerrero Negro,MX,27.9769,-114.0611,60.96,77,100,14.14,overcast clouds
15,Chokurdakh,RU,70.6333,147.9167,-25.55,98,100,4.85,overcast clouds
16,Ilulissat,GL,69.2167,-51.1,17.62,73,75,10.36,light shower snow
17,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,20,6.91,few clouds
18,Ushuaia,AR,-54.8,-68.3,51.46,76,75,9.22,drizzle
19,Muli,MV,2.9167,73.5667,82.53,76,33,13.71,scattered clouds
20,Kapaa,US,22.0752,-159.319,73.72,96,75,6.91,light rain
21,Kaitangata,NZ,-46.2817,169.8464,57.92,82,100,7.07,overcast clouds
22,Anadyr,RU,64.75,177.4833,5.5,85,90,35.79,snow
23,Punta Arenas,CL,-53.15,-70.9167,57.31,62,40,27.63,scattered clouds
24,Ancud,CL,-41.8697,-73.8203,66.42,66,8,7.45,clear sky
25,Megion,RU,61.0296,76.1136,3.22,99,96,1.92,overcast clouds
26,Padang,ID,-0.9492,100.3543,78.85,88,100,2.51,moderate rain
27,Praia,CV,14.9215,-23.5087,76.17,64,100,13.15,overcast clouds
28,Klaksvik,FO,62.2266,-6.589,45.52,76,26,38.99,scattered clouds
29,Ust-Nera,RU,64.5667,143.2,-23.4,99,98,4.16,overcast clouds
30,High Prairie,CA,55.4334,-116.4858,-7.6,96,100,3.24,overcast clouds
31,Victoria,HK,22.2855,114.1577,72.97,89,98,4.0,overcast clouds
32,Pingliang,CN,35.5392,106.6861,31.15,46,76,8.3,broken clouds
33,Vaini,TO,-21.2,-175.2,75.36,100,20,5.75,few clouds
34,Jamestown,US,42.097,-79.2353,44.19,62,90,3.0,overcast clouds
35,Ahipara,NZ,-35.1667,173.1667,65.43,94,46,12.46,scattered clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,71.56,87,90,4.0,overcast clouds
37,Mehamn,NO,71.0357,27.8492,29.66,83,100,14.03,overcast clouds
38,Birjand,IR,32.8663,59.2211,36.07,14,0,6.91,clear sky
39,Bluff,NZ,-46.6,168.3333,52.81,85,100,17.56,overcast clouds
40,Buchanan,LR,5.8808,-10.0467,83.1,72,87,6.2,light rain
41,Kenai,US,60.5544,-151.2583,-1.86,82,1,5.75,mist
42,Matay,EG,28.419,30.7792,61.93,39,0,7.63,clear sky
43,Cayenne,GF,4.9333,-52.3333,79.09,89,75,5.01,mist
44,Saldanha,ZA,-33.0117,17.9442,64.67,70,37,18.41,scattered clouds
45,Bom Jesus,BR,-9.0744,-44.3586,91.13,44,99,6.69,overcast clouds
46,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,80,100,15.39,overcast clouds
47,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,70,40,20.71,scattered clouds
48,Tabora,TZ,-5.0167,32.8,77.95,53,79,5.14,broken clouds
49,Trairi,BR,-3.2778,-39.2689,88.59,56,39,17.43,scattered clouds
50,Tautira,PF,-17.7333,-149.15,77.02,79,59,10.8,light rain
51,Ponta Do Sol,PT,32.6667,-17.1,66.83,68,3,5.53,clear sky
52,Mayo,US,38.8876,-76.5119,51.87,76,1,1.99,clear sky
53,Castro,BR,-24.7911,-50.0119,73.04,86,100,5.79,overcast clouds
54,Hithadhoo,MV,-0.6,73.0833,82.17,73,4,4.25,clear sky
55,Umm Lajj,SA,25.0213,37.2685,74.28,77,97,14.92,overcast clouds
56,Haines Junction,CA,60.7522,-137.5108,-16.65,69,97,4.61,overcast clouds
57,Yellowknife,CA,62.456,-114.3525,-7.08,84,90,8.05,light snow
58,Port Augusta,AU,-32.5,137.7667,64.54,48,0,10.31,clear sky
59,Hermanus,ZA,-34.4187,19.2345,63.9,73,85,19.95,light rain
60,Bredasdorp,ZA,-34.5322,20.0403,61.29,64,97,19.73,light rain
61,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,19.57,broken clouds
62,Ternate,ID,0.8,127.4,81.45,78,92,2.33,moderate rain
63,Hilo,US,19.7297,-155.09,74.28,59,1,8.05,light rain
64,Mendoza,AR,-32.8908,-68.8272,74.73,53,20,4.61,few clouds
65,Pitimbu,BR,-7.4706,-34.8086,88.39,64,100,11.97,overcast clouds
66,Poronaysk,RU,49.2167,143.1167,2.19,93,88,4.45,overcast clouds
67,Port Alfred,ZA,-33.5906,26.891,70.27,80,16,28.68,few clouds
68,Mar Del Plata,AR,-38.0023,-57.5575,65.88,76,15,8.01,few clouds
69,Souillac,MU,-20.5167,57.5167,79.18,73,40,13.8,light rain
70,Valentigney,FR,47.4639,6.8317,39.94,92,97,5.48,overcast clouds
71,Thompson,CA,55.7435,-97.8558,12.36,85,90,5.75,light snow
72,Salalah,OM,17.0151,54.0924,78.89,65,40,5.75,scattered clouds
73,Leh,IN,34.1667,77.5833,2.86,64,3,3.53,clear sky
74,Mandalgovi,MN,45.7625,106.2708,-0.29,64,82,16.31,broken clouds
75,Grenada,ES,37.1882,-3.6067,61.48,41,20,3.0,few clouds
76,Longyearbyen,SJ,78.2186,15.6401,28.24,69,40,21.85,scattered clouds
77,Hobart,AU,-42.8794,147.3294,57.06,79,90,14.97,overcast clouds
78,Rosita,NI,13.9268,-84.4032,75.25,92,92,4.92,overcast clouds
79,Gazipur,BD,23.9981,90.423,73.36,64,40,3.44,haze
80,Cherskiy,RU,68.75,161.3,-23.51,80,100,6.44,overcast clouds
81,Kruisfontein,ZA,-34.0033,24.7314,64.89,71,93,24.02,overcast clouds
82,Half Moon Bay,US,37.4636,-122.4286,46.56,89,90,9.22,overcast clouds
83,Aldan,RU,58.6031,125.3894,-28.16,94,100,7.38,overcast clouds
84,Namibe,AO,-15.1961,12.1522,75.76,65,17,10.33,few clouds
85,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,12.66,clear sky
86,Avarua,CK,-21.2078,-159.775,77.05,94,40,10.36,scattered clouds
87,Lokosovo,RU,61.1333,74.8167,5.04,100,93,4.07,overcast clouds
88,Herbeumont,BE,49.7809,5.2358,46.72,78,100,2.51,overcast clouds
89,Olafsvik,IS,64.8945,-23.7142,41.18,84,100,25.88,overcast clouds
90,Albany,US,42.6001,-73.9662,38.62,69,100,1.01,overcast clouds
91,Manbij,SY,36.5281,37.9549,54.37,45,55,7.83,broken clouds
92,West Wendover,US,40.7391,-114.0733,25.81,43,1,8.05,clear sky
93,Dawson Creek,CA,55.7666,-120.2362,-5.84,71,1,11.5,clear sky
94,Revda,RU,56.801,59.9303,22.12,94,100,8.03,overcast clouds
95,Isangel,VU,-19.55,169.2667,82.51,65,20,5.75,few clouds
96,Bethel,US,41.3712,-73.414,45.91,59,1,4.61,clear sky
97,Auki,SB,-8.7676,160.7034,77.88,88,100,5.32,overcast clouds
98,Valparaiso,CL,-33.0393,-71.6273,68.23,61,0,8.05,clear sky
99,Shingu,JP,33.7333,135.9833,45.39,82,11,7.4,few clouds
100,Nome,US,64.5011,-165.4064,6.87,61,90,23.02,overcast clouds
101,Srednekolymsk,RU,67.45,153.6833,-18.2,98,100,3.89,overcast clouds
102,Necochea,AR,-38.5473,-58.7368,76.03,45,75,8.59,broken clouds
103,Flin Flon,CA,54.7682,-101.865,12.61,90,100,9.44,overcast clouds
104,Aklavik,CA,68.2191,-135.0107,-20.2,76,40,6.91,scattered clouds
105,Nikolskoye,RU,59.7035,30.7861,36.88,93,99,8.77,overcast clouds
106,Charlestown,AU,-32.95,151.6667,72.73,91,100,1.99,light rain
107,Port Macquarie,AU,-31.4333,152.9167,67.96,80,72,4.45,light rain
108,Esperance,AU,-33.8667,121.9,60.57,77,3,15.77,clear sky
109,Bambous Virieux,MU,-20.3428,57.7575,79.05,73,40,13.8,light rain
110,Hasaki,JP,35.7333,140.8333,37.8,57,0,8.93,clear sky
111,Grand Gaube,MU,-20.0064,57.6608,79.2,74,17,8.01,light rain
112,Rawson,AR,-43.3002,-65.1023,73.38,42,0,8.88,clear sky
113,Porto Velho,BR,-8.7619,-63.9039,86.05,66,75,3.44,broken clouds
114,Itarema,BR,-2.9248,-39.9167,89.42,56,62,19.51,broken clouds
115,Cancun,MX,21.1743,-86.8466,80.53,69,40,9.22,scattered clouds
116,Henties Bay,NA,-22.116,14.2845,64.85,73,0,15.7,clear sky
117,Pangnirtung,CA,66.1451,-65.7125,-22.52,92,25,4.41,scattered clouds
118,Khatanga,RU,71.9667,102.5,-8.68,95,100,7.0,overcast clouds
119,Adre,TD,13.4667,22.2,89.44,16,36,2.59,scattered clouds
120,Guymon,US,36.6828,-101.4816,58.48,67,1,28.77,clear sky
121,Narsaq,GL,60.9167,-46.05,28.62,80,100,5.75,overcast clouds
122,Okhotsk,RU,59.3833,143.3,-4.61,86,100,13.15,overcast clouds
123,Iskateley,RU,67.6803,53.1512,20.71,95,100,14.16,light snow
124,Sioux Lookout,CA,50.1001,-91.917,35.98,100,90,6.91,mist
125,Okha,RU,53.5739,142.9478,-2.4,89,40,21.09,scattered clouds
126,Knysna,ZA,-34.0363,23.0471,62.98,84,100,13.04,light rain
127,Norman Wells,CA,65.282,-126.8329,-23.76,69,75,10.36,light snow
128,Saskylakh,RU,71.9167,114.0833,-29.51,97,23,5.59,few clouds
129,Butaritari,KI,3.0707,172.7902,80.85,77,98,6.49,light rain
