City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,78.13,77,43,7.56,PF,2021-12-14 00:18:55
1,Punta Arenas,-53.15,-70.9167,50.11,62,75,12.66,CL,2021-12-14 00:18:56
2,Ushuaia,-54.8,-68.3,44.26,70,75,19.57,AR,2021-12-14 00:18:56
3,Urubamba,-13.3047,-72.1158,65.3,84,100,5.44,PE,2021-12-14 00:18:56
4,Arraial Do Cabo,-22.9661,-42.0278,78.66,94,20,4.61,BR,2021-12-14 00:18:57
5,Vao,-22.6667,167.4833,76.95,89,100,19.69,NC,2021-12-14 00:18:57
6,Fortuna,40.5982,-124.1573,48.65,95,1,1.99,US,2021-12-14 00:18:58
7,Sebastian,35.1668,-94.2669,58.05,52,7,5.08,US,2021-12-14 00:18:58
8,Preobrazheniye,42.9019,133.9064,27.88,58,1,6.35,RU,2021-12-14 00:18:58
9,Cape Town,-33.9258,18.4232,63.88,68,20,5.01,ZA,2021-12-14 00:18:59
10,Porto Belo,-27.1578,-48.5531,77.63,93,62,4.38,BR,2021-12-14 00:18:59
11,Kodiak,57.79,-152.4072,15.31,73,90,4.61,US,2021-12-14 00:19:00
12,Dikson,73.5069,80.5464,-2.69,97,100,26.19,RU,2021-12-14 00:19:00
13,Mitu,1.1983,-70.1733,74.5,93,97,3.11,CO,2021-12-14 00:14:13
14,Georgetown,5.4112,100.3354,78.89,86,20,0.0,MY,2021-12-14 00:19:01
15,Norman Wells,65.282,-126.8329,-23.76,69,20,0.0,CA,2021-12-14 00:19:01
16,Tuatapere,-46.1333,167.6833,64.81,54,13,8.79,NZ,2021-12-14 00:19:01
17,Tual,-5.6667,132.75,83.71,72,87,4.16,ID,2021-12-14 00:19:02
18,Baijiantan,45.6333,85.1833,17.85,84,100,1.03,CN,2021-12-14 00:19:02
19,Luderitz,-26.6481,15.1594,61.05,83,0,15.21,NA,2021-12-14 00:19:02
20,Hami,42.8,93.45,22.91,48,41,1.63,CN,2021-12-14 00:19:03
21,Bredasdorp,-34.5322,20.0403,60.28,86,100,5.41,ZA,2021-12-14 00:19:03
22,Seoul,37.5683,126.9778,36.97,56,75,4.61,KR,2021-12-14 00:19:04
23,Northam,51.0333,-4.2167,54.01,93,100,11.88,GB,2021-12-14 00:19:04
24,Lebu,-37.6167,-73.65,55.51,81,0,10.31,CL,2021-12-14 00:19:05
25,Vanimo,-2.6741,141.3028,82.87,78,100,1.39,PG,2021-12-14 00:19:05
26,Sao Filipe,14.8961,-24.4956,75.38,71,49,10.18,CV,2021-12-14 00:19:06
